item_code,item_name_original,item_name_en
-1,,
1,AYAM BERSIH - STANDARD,Cleaned Chicken - Standard
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),Mutton Imported Bone-in (MUTTON) (NEW ZEALAND - Box)
101,KELAPA BIJI,Whole Coconut
1017,FISHERMAN'S FRIEND ORIGINAL,FISHERMAN'S FRIEND ORIGINAL
1019,MINYAK ANGIN CAP KAPAK,Kapak Brand Medicated Oil
102,KELAPA PARUT,Grated Coconut
1020,VICKS VAPORUB,VICKS VAPORUB
1025,LISTERINE COOL MINT,LISTERINE COOL MINT
103,SANTAN KELAPA SEGAR (BIASA),Fresh Coconut Milk (Regular)
104,KUBIS BULAT IMPORT (CHINA),Round Cabbage Imported (CHINA)
105,KUBIS BULAT (TEMPATAN),Round Cabbage (Local)
1050,MAGGI MEE CURRY,MAGGI Noodles CURRY
1063,KINDER BUENO - MILK & HAZELNUT,KINDER BUENO - MILK & HAZELNUT
1070,SOS CILI MAGGI,Maggi Chili Sauce
108,KUNYIT HIDUP,Fresh Turmeric
1080,SERBUK PENAIK ROYAL (TIN),Baking Powder ROYAL (Tin)
1081,MACKAREL CAP KING CUP (SOS TOMATO),King Cup Mackerel (Tomato Sauce)
1082,MACKAREL CAP AYAM (SOS TOMATO),Ayam Brand Mackerel (Tomato Sauce)
1084,TEH BOH (SERBUK),Boh Tea (Powder)
1086,MINYAK JAGUNG CAP DAISY,Daisy Corn Oil
1087,MINYAK JAGUNG CAP DAISY,Daisy Corn Oil
1088,MINYAK JAGUNG CAP MAZOLA,Mazola Corn Oil
1089,MINYAK JAGUNG CAP VECORN,Vecorn Corn Oil
109,LOBAK MERAH,Carrots
1090,MINYAK JAGUNG CAP VECORN,Vecorn Corn Oil
1091,MINYAK MASAK SEBATIAN CAP HELANG,Blended Cooking Oil Brand HELANG
1092,MINYAK MASAK SEBATIAN CAP NEPTUNE,Blended Cooking Oil Brand NEPTUNE
1093,MINYAK MASAK SEBATIAN CAP PISAU,Blended Cooking Oil Brand PISAU
1094,MINYAK MASAK TULEN CAP BURUH,Pure Cooking Oil Brand BURUH
1095,MINYAK MASAK TULEN CAP VESAWIT,Pure Cooking Oil Brand VESAWIT
1097,SOS CILI MAGGI,Maggi Chili Sauce
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),Mutton Imported Boneless (MUTTON) (Excluding Leg - AUSTRALIA)
1100,MINYAK MASAK TULEN CAP SERI MURNI,Pure Cooking Oil Brand SERI MURNI
1101,MINYAK MASAK TULEN CAP SERI MURNI,Pure Cooking Oil Brand SERI MURNI
1105,SUSU ANLENE ACTIFIT 3X COKLAT,Milk ANLENE ACTIFIT 3X Chocolate
1109,TELUR AYAM GRED A,Eggs Chicken Grade A
1110,TELUR AYAM GRED B,Grade B Chicken Eggs
1111,TELUR AYAM GRED C,Eggs Chicken Grade C
1114,SOS TIRAM KIMBALL,Oyster Sauce KIMBALL
1115,KICAP LEMAK MASIN CAP KIPAS UDANG,Salty Thick Soy Sauce Brand KIPAS Prawns
1116,SOS TIRAM NONA,Oyster Sauce NONA
